Time/s,Azimuth/deg,Zenith/deg
291,-2.50000000,42.33700000
292,-4.59000000,42.14800000
293,0.39000000,42.77800000
294,-1.68000000,42.55100000
295,-3.75000000,42.31200000
296,-5.84000000,42.06200000
297,-0.89000000,42.87500000
298,-2.94000000,42.58800000
299,-5.00000000,42.28800000
300,-7.08000000,41.97500000
301,-2.18000000,42.97200000
302,-4.20000000,42.62400000
303,-6.25000000,42.26300000
304,-8.32000000,41.88900000
305,-3.46000000,43.06800000
306,-5.47000000,42.66100000
307,-7.50000000,42.23900000
308,-9.56000000,41.80300000
309,-4.75000000,43.16500000
310,-6.74000000,42.69800000
311,-8.75000000,42.21500000
312,-10.80000000,41.71700000
313,-6.04000000,43.26000000
314,-8.00000000,42.73400000
315,-10.00000000,42.19100000
316,-12.03000000,41.63100000
317,-7.33000000,43.35500000
318,-9.27000000,42.77100000
319,-11.25000000,42.16700000
320,-13.26000000,41.54600000
321,-8.62000000,43.45000000
322,-10.54000000,42.80700000
323,-12.50000000,42.14400000
324,-14.50000000,41.46100000
325,-9.91000000,43.54400000
326,-11.81000000,42.84300000
327,-13.74000000,42.12100000
328,-15.73000000,41.37600000
329,-11.21000000,43.63700000
330,-13.08000000,42.87900000
331,-14.99000000,42.09800000
332,-16.95000000,41.29200000
333,-12.50000000,43.72900000
334,-14.34000000,42.91500000
335,-16.23000000,42.07500000
336,-18.18000000,41.20900000
337,-13.80000000,43.82100000
338,-15.62000000,42.95100000
339,-17.48000000,42.05300000
340,-19.40000000,41.12600000
341,-15.10000000,43.91200000
342,-16.89000000,42.98700000
343,-18.72000000,42.03100000
344,-20.62000000,41.04400000
345,-16.40000000,44.00200000
346,-18.16000000,43.02200000
347,-19.97000000,42.01000000
348,-21.84000000,40.96200000
349,-17.70000000,44.09100000
350,-19.43000000,43.05800000
351,-21.21000000,41.98800000
352,-23.06000000,40.88100000
353,-19.01000000,44.17900000
354,-20.70000000,43.09300000
355,-22.46000000,41.96700000
356,-24.28000000,40.80100000
357,-20.31000000,44.26700000
358,-21.98000000,43.12700000
359,-23.70000000,41.94700000
360,-25.49000000,40.72200000
361,-21.62000000,44.35300000
362,-23.25000000,43.16200000
363,-24.94000000,41.92600000
364,-26.70000000,40.64400000
365,-22.93000000,44.43900000
366,-24.52000000,43.19600000
367,-26.18000000,41.90700000
368,-27.91000000,40.56600000
369,-24.24000000,44.52300000
370,-25.80000000,43.23000000
371,-27.42000000,41.88700000
372,-29.12000000,40.49000000
373,-25.55000000,44.60600000
